text,urgency_prediction,urgency_confidence,hazard_prediction,hazard_confidence,extracted_entities,reason_flagged,resolution
severe flooding reported near nizamabad families are requesting evacuation support,CRITICAL,0.48,Flood,0.5062,"{""location"": [""nizamabad""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
families around durg are requesting emergency shelter,CRITICAL,0.5024,Cyclone,0.9846,"{""location"": [""durg""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near kanpur 2 people need assistance,MEDIUM,0.2839,Heavy Rainfall,0.9954,"{""location"": [""kanpur""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around wayanad are requesting emergency shelter,CRITICAL,0.3733,Cyclone,0.9852,"{""location"": [""wayanad""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near gurugram need emergency assistance,CRITICAL,0.3899,Landslide,0.9925,"{""location"": [""gurugram""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people near bhagalpur are requesting emergency shelter,HIGH,0.3268,Tsunami,0.9898,"{""location"": [""bhagalpur""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near kottayam please send rescue teams,CRITICAL,0.4604,Earthquake,0.9895,"{""location"": [""kottayam""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around bhopal emergency rescue support is required,HIGH,0.3002,Heavy Rainfall,0.9936,"{""location"": [""bhopal""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near barpeta please send rescue teams,MEDIUM,0.3237,Earthquake,0.9897,"{""location"": [""barpeta""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near rajkot 12 people need assistance,CRITICAL,0.5008,Heavy Rainfall,0.9967,"{""location"": [""rajkot""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near chamoli are requesting emergency water support,LOW,0.4199,Drought,0.9948,"{""location"": [""chamoli""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around karimnagar rescue teams are needed immediately,LOW,0.2765,Earthquake,0.9896,"{""location"": [""karimnagar""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around dibrugarh residents need immediate evacuation,CRITICAL,0.3451,Tsunami,0.9933,"{""location"": [""dibrugarh""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around hyderabad emergency rescue support is required,CRITICAL,0.2795,Heavy Rainfall,0.9937,"{""location"": [""hyderabad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around thoothukudi rescue teams are needed immediately,LOW,0.299,Earthquake,0.995,"{""location"": [""thoothukudi""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near chamoli 2 people need medical assistance,LOW,0.5965,Lightning,0.9924,"{""location"": [""chamoli""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near nagpur 1 people need assistance,MEDIUM,0.3148,Heavy Rainfall,0.9945,"{""location"": [""nagpur""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around mangaluru residents need drinking water,LOW,0.2567,Drought,0.9923,"{""location"": [""mangaluru""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near malda residents need immediate evacuation,CRITICAL,0.3009,Wildfire,0.9907,"{""location"": [""malda""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near morigaon 1 people need medical assistance,MEDIUM,0.536,Lightning,0.9934,"{""location"": [""morigaon""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around jorhat residents need drinking water,MEDIUM,0.2999,Drought,0.9978,"{""location"": [""jorhat""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near kanpur residents need immediate evacuation,HIGH,0.2852,Wildfire,0.9914,"{""location"": [""kanpur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near ujjain 4 people need immediate rescue,LOW,0.4253,Flood,0.6791,"{""location"": [""ujjain""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near thiruvananthapuram 5 people need evacuation support,CRITICAL,0.4987,Cyclone,0.9924,"{""location"": [""thiruvananthapuram""], ""resource_needed"": [""evacuation""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around indore residents need immediate evacuation,CRITICAL,0.3468,Tsunami,0.9923,"{""location"": [""indore""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around malda please send water tankers,MEDIUM,0.35,Drought,0.9946,"{""location"": [""malda""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near thiruvananthapuram 2 people may be trapped,CRITICAL,0.4866,Landslide,0.9923,"{""location"": [""thiruvananthapuram""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around guntur emergency rescue support is required,LOW,0.3042,Heavy Rainfall,0.9932,"{""location"": [""guntur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near bhagalpur 7 people need medical assistance,LOW,0.5114,Lightning,0.9941,"{""location"": [""bhagalpur""], ""resource_needed"": [], ""headcount"": 7}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around jagdalpur residents need drinking water,MEDIUM,0.2742,Drought,0.9958,"{""location"": [""jagdalpur""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near hisar are blocked because of heavy rain,CRITICAL,0.5964,Heavy Rainfall,0.993,"{""location"": [""hisar""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near hisar need rescue assistance due to severe weather,CRITICAL,0.3927,Cyclone,0.9926,"{""location"": [""hisar""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near bikaner 4 people need medical assistance,MEDIUM,0.3646,Lightning,0.9964,"{""location"": [""bikaner""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near bhavnagar are blocked because of heavy rain,CRITICAL,0.4016,Heavy Rainfall,0.9928,"{""location"": [""bhavnagar""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near kutch 3 people need medical assistance,LOW,0.4062,Lightning,0.9913,"{""location"": [""kutch""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near vijayawada 4 people may be trapped,CRITICAL,0.3694,Landslide,0.9919,"{""location"": [""vijayawada""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around lucknow please send a rescue team for 5 people,MEDIUM,0.3436,Flood,0.7234,"{""location"": [""lucknow""], ""resource_needed"": [""rescue team""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near bhopal 7 people need emergency assistance,MEDIUM,0.3423,Earthquake,0.9923,"{""location"": [""bhopal""], ""resource_needed"": [], ""headcount"": 7}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near jalandhar 5 people may be trapped,LOW,0.311,Landslide,0.9911,"{""location"": [""jalandhar""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near bhavnagar 20 people need medical assistance,CRITICAL,0.5383,Lightning,0.997,"{""location"": [""bhavnagar""], ""resource_needed"": [], ""headcount"": 20}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near uttarkashi 8 people may be trapped,HIGH,0.3625,Landslide,0.9921,"{""location"": [""uttarkashi""], ""resource_needed"": [], ""headcount"": 8}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around bikaner emergency rescue support is required,MEDIUM,0.2819,Heavy Rainfall,0.9937,"{""location"": [""bikaner""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near udupi 7 people need assistance,MEDIUM,0.3499,Heavy Rainfall,0.9951,"{""location"": [""udupi""], ""resource_needed"": [], ""headcount"": 7}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near thrissur need rescue assistance due to severe weather,LOW,0.3344,Cyclone,0.9935,"{""location"": [""thrissur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around jagdalpur please send water tankers,CRITICAL,0.3453,Drought,0.992,"{""location"": [""jagdalpur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near rewa,LOW,0.4526,Wildfire,0.9913,"{""location"": [""rewa""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around kolhapur residents need immediate evacuation,CRITICAL,0.3265,Tsunami,0.9967,"{""location"": [""kolhapur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near uttarkashi 2 people may be trapped,HIGH,0.3625,Landslide,0.9921,"{""location"": [""uttarkashi""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near ludhiana 2 people need emergency assistance,LOW,0.3999,Earthquake,0.9925,"{""location"": [""ludhiana""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near bokaro,LOW,0.3047,Wildfire,0.9916,"{""location"": [""bokaro""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near guwahati need emergency assistance,MEDIUM,0.3022,Landslide,0.9892,"{""location"": [""guwahati""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near kangra 1 people may be trapped,HIGH,0.3715,Landslide,0.9895,"{""location"": [""kangra""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near kangra are blocked because of heavy rain,CRITICAL,0.3478,Heavy Rainfall,0.993,"{""location"": [""kangra""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near kendrapara need rescue assistance due to severe weather,CRITICAL,0.3063,Cyclone,0.9934,"{""location"": [""kendrapara""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around guntur please send water tankers,CRITICAL,0.3012,Drought,0.9968,"{""location"": [""guntur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near udaipur 2 people need immediate rescue,MEDIUM,0.5368,Flood,0.6866,"{""location"": [""udaipur""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people are stranded near balasore we need a rescue boat immediately,LOW,0.2712,Flood,0.6661,"{""location"": [""balasore""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near udupi 7 people need evacuation support,CRITICAL,0.4076,Cyclone,0.9929,"{""location"": [""udupi""], ""resource_needed"": [""evacuation""], ""headcount"": 7}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around nellore please send a rescue team for 5 people,MEDIUM,0.3697,Flood,0.6986,"{""location"": [""nellore""], ""resource_needed"": [""rescue team""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near surat 3 people need medical assistance,MEDIUM,0.3243,Lightning,0.993,"{""location"": [""surat""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near rishikesh residents need immediate evacuation,CRITICAL,0.349,Wildfire,0.989,"{""location"": [""rishikesh""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near jabalpur families are requesting evacuation support,CRITICAL,0.3827,Flood,0.5081,"{""location"": [""jabalpur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around tirunelveli residents need immediate evacuation,CRITICAL,0.3239,Tsunami,0.996,"{""location"": [""tirunelveli""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near dhanbad 2 people need immediate rescue,MEDIUM,0.3407,Flood,0.6808,"{""location"": [""dhanbad""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near gaya 5 people need assistance,MEDIUM,0.3764,Heavy Rainfall,0.9953,"{""location"": [""gaya""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near ujjain need rescue assistance due to severe weather,LOW,0.3298,Cyclone,0.9923,"{""location"": [""ujjain""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near indore rescue teams are urgently needed,LOW,0.333,Landslide,0.9943,"{""location"": [""indore""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near udupi rescue teams are urgently needed,LOW,0.3131,Landslide,0.9978,"{""location"": [""udupi""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near ayodhya please arrange evacuation immediately,LOW,0.3946,Cyclone,0.991,"{""location"": [""ayodhya""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near raigad 10 people need evacuation support,CRITICAL,0.453,Cyclone,0.9953,"{""location"": [""raigad""], ""resource_needed"": [""evacuation""], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near surat 8 people need immediate rescue,MEDIUM,0.3082,Flood,0.6873,"{""location"": [""surat""], ""resource_needed"": [], ""headcount"": 8}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around amritsar please send a rescue team for 20 people,CRITICAL,0.4978,Flood,0.6838,"{""location"": [""amritsar""], ""resource_needed"": [""rescue team""], ""headcount"": 20}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people are stranded near kolhapur we need a rescue boat immediately,MEDIUM,0.3287,Flood,0.664,"{""location"": [""kolhapur""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around karimnagar please send water tankers,MEDIUM,0.3478,Drought,0.992,"{""location"": [""karimnagar""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near udaipur 10 people need emergency assistance,HIGH,0.4302,Earthquake,0.9947,"{""location"": [""udaipur""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
