scenario_id,scenario,zone_id,label,state,district,true_severity,hazards,modifiers,has_sensors,has_text,has_image,has_water_history,text_entries,headcount_reported,beyond_record_fields,evidence_lost,rainfall_mm,river_level_m,river_level_threshold_m,emergency_calls,road_closures,bridge_closures,flood_history_count,population_affected,water_level_change_m,expected_status,expected_min_priority,expected_max_priority
S04,Urban cloudburst waterlogging,ZONE-1,Central wards,Maharashtra,Pune,URGENT,Flood; Road Blockage,urban_waterlogging,True,True,True,True,4,58,emergency_calls,,98.779,2.458,4.762,80.0,4.0,2.0,5.0,3360.0,0.56,ok,ELEVATED,
S04,Urban cloudburst waterlogging,ZONE-2,Suburban junctions,Maharashtra,Nashik,ELEVATED,Road Blockage,urban_waterlogging,True,True,False,True,2,20,rainfall_mm,,104.229,3.956,6.904,45.0,3.0,0.0,3.0,1862.0,-0.351,ok,,
S05,Negated flood rumour,ZONE-1,Backwater ward,Kerala,Kozhikode,ROUTINE,Flood,calm; negation_text,True,True,True,True,1,0,,,7.099,1.833,5.405,17.0,0.0,0.0,3.0,741.0,0.035,ok,,ELEVATED
S05,Negated flood rumour,ZONE-2,Hill ward,Kerala,Thrissur,ROUTINE,Flood,calm,True,True,False,True,2,8,,,4.078,2.913,6.712,21.0,0.0,0.0,2.0,575.0,0.025,ok,,ELEVATED
S06,Silent rise while residents sleep,ZONE-1,Floodplain village,Uttar Pradesh,Prayagraj,CRITICAL,Flood,silent_rise,True,False,False,True,0,0,,,17.651,8.045,4.62,24.0,0.0,0.0,5.0,1638.0,1.246,ok,URGENT,
S06,Silent rise while residents sleep,ZONE-2,Riverside hamlet,Uttar Pradesh,Lucknow,URGENT,Flood,silent_rise,True,False,False,True,0,0,,,22.287,6.829,4.714,20.0,1.0,1.0,4.0,1870.0,1.401,ok,ELEVATED,
S07,Telemetry dropout,ZONE-1,Char lands,West Bengal,Darjeeling,CRITICAL,Flood; Rescue Emergency,river_overflow,False,True,False,False,4,178,,,,,,,,,,,,ok,URGENT,
S07,Telemetry dropout,ZONE-2,Canal colony,West Bengal,Howrah,URGENT,Flood,implicit_urgency; river_overflow,False,True,False,False,4,60,,,,,,,,,,,,ok,ELEVATED,
S07,Telemetry dropout,ZONE-3,Town centre,West Bengal,Malda,ELEVATED,Flood,,True,True,False,True,3,20,,,21.149,5.78,6.192,30.0,0.0,1.0,4.0,1336.0,0.346,ok,,
S08,Gauge logger malfunction,ZONE-1,Faulty-gauge reach,Gujarat,Ahmedabad,ELEVATED,Flood,gauge_malfunction,True,True,False,True,3,19,,,33.923,1.447,6.686,39.0,1.0,0.0,4.0,2151.0,0.206,ok,,URGENT
S08,Gauge logger malfunction,ZONE-2,Downstream reach,Gujarat,Surat,URGENT,Flood,river_overflow,True,True,False,True,3,52,,,88.385,7.288,5.701,53.0,1.0,1.0,4.0,3605.0,0.716,ok,ELEVATED,
S09,People versus sensors,ZONE-1,Lagging-gauge valley,Karnataka,Udupi,CRITICAL,Rescue Emergency; Flood,,True,True,False,True,5,190,,,35.993,1.0,5.5,19.0,1.0,0.0,3.0,1120.0,0.04,ok,URGENT,
S09,People versus sensors,ZONE-2,Prank-message town,Karnataka,Bengaluru,ROUTINE,Flood,calm; false_alarm_text,True,True,False,True,2,6,,,1.398,1.0,4.82,17.0,0.0,0.0,4.0,697.0,0.023,ok,,
S10,Camera versus gauge,ZONE-1,Flooded-camera ward,Tamil Nadu,Madurai,URGENT,Flood,,True,True,True,True,4,67,,,25.733,1.0,5.735,34.0,1.0,0.0,1.0,1851.0,0.864,ok,ELEVATED,
S10,Camera versus gauge,ZONE-2,Dry-camera ward,Tamil Nadu,Tiruppur,ELEVATED,Flood,,True,True,True,True,3,18,,,39.489,6.512,5.163,42.0,5.0,0.0,8.0,3005.0,0.335,ok,,
S11,Receding but still flooded,ZONE-1,Inundated colony,Bihar,Patna,URGENT,Flood; Rescue Emergency,receding,True,True,True,True,3,56,,,48.633,6.074,6.128,53.0,2.0,2.0,2.0,2578.0,-0.799,ok,URGENT,
S11,Receding but still flooded,ZONE-2,Drying fringe,Bihar,Gaya,ELEVATED,Flood,receding,True,True,False,True,2,19,,,9.505,2.519,4.458,28.0,2.0,1.0,3.0,840.0,-0.705,ok,,
S12,Bridge collapse isolation,ZONE-1,Cut-off valley,Karnataka,Mysuru,CRITICAL,Road Blockage; Rescue Emergency; Medical Emergency,bridge_collapse; river_overflow,True,True,True,True,5,177,bridge_closures,,71.371,6.584,4.46,65.0,5.0,3.0,5.0,3071.0,1.037,ok,URGENT,
S12,Bridge collapse isolation,ZONE-2,Approach road,Karnataka,Mangaluru,URGENT,Road Blockage,bridge_collapse,True,True,False,True,4,64,bridge_closures,,61.376,5.118,4.465,42.0,5.0,3.0,3.0,2604.0,-0.737,ok,ELEVATED,
S13,Hospital ground floor flooding,ZONE-1,Hospital campus,Maharashtra,Kolhapur,CRITICAL,Flood; Medical Emergency,mass_casualty; river_overflow,True,True,True,True,4,1164,population_affected,,49.521,7.069,5.728,31.0,0.0,1.0,4.0,5562.0,0.994,ok,URGENT,
S13,Hospital ground floor flooding,ZONE-2,Clinic district,Maharashtra,Pune,ELEVATED,Medical Emergency,,True,True,False,True,2,21,,,36.835,3.428,4.72,39.0,1.0,2.0,4.0,1923.0,-0.149,ok,,
S14,Night dam spillway release,ZONE-1,Spillway reach,Kerala,Kottayam,CRITICAL,Flood; Rescue Emergency,dam_release,True,True,True,True,4,183,water_level_change_m,,1.954,8.528,5.751,17.0,0.0,2.0,5.0,1372.0,1.793,ok,URGENT,
S14,Night dam spillway release,ZONE-2,Island ward,Kerala,Thrissur,CRITICAL,Flood,dam_release,True,True,False,True,5,137,water_level_change_m,,13.544,7.607,5.519,24.0,1.0,1.0,7.0,2127.0,2.398,ok,URGENT,
S14,Night dam spillway release,ZONE-3,Lower reach,Kerala,Kozhikode,URGENT,Flood,river_overflow,True,True,False,True,4,63,,,68.761,6.002,5.131,38.0,4.0,0.0,0.0,3126.0,0.784,ok,ELEVATED,
S15,Five-state monsoon cascade,ZONE-1,Brahmaputra plain,Assam,Barpeta,CRITICAL,Flood; Rescue Emergency,river_overflow,True,True,True,True,4,183,,,14.565,6.5,5.683,26.0,0.0,1.0,5.0,2351.0,0.976,ok,URGENT,
S15,Five-state monsoon cascade,ZONE-2,Kosi basin,Bihar,Gaya,URGENT,Flood,river_overflow,True,True,False,True,4,67,,,34.581,6.969,5.526,45.0,2.0,1.0,6.0,2128.0,0.893,ok,ELEVATED,
S15,Five-state monsoon cascade,ZONE-3,Delta towns,West Bengal,Howrah,URGENT,Flood; Road Blockage,,True,True,False,True,3,51,,,40.149,6.936,6.095,38.0,3.0,0.0,4.0,2153.0,0.826,ok,ELEVATED,
S15,Five-state monsoon cascade,ZONE-4,Mahanadi upland,Odisha,Cuttack,ELEVATED,Flood,,True,True,False,True,2,15,,,23.672,2.927,5.316,34.0,1.0,0.0,4.0,1271.0,-0.136,ok,,
S15,Five-state monsoon cascade,ZONE-5,Doab farmland,Uttar Pradesh,Varanasi,ROUTINE,Flood,calm,True,True,True,True,1,3,,,8.533,1.705,5.973,14.0,0.0,0.0,4.0,1066.0,-0.076,ok,,
S16,Out-of-season cloudburst,ZONE-1,Cloudburst catchment,Tamil Nadu,Coimbatore,URGENT,Flood,flash_flood,True,True,False,True,3,58,rainfall_mm; water_level_change_m,,161.628,7.331,5.653,64.0,1.0,1.0,3.0,3778.0,1.843,ok,ELEVATED,
S16,Out-of-season cloudburst,ZONE-2,Neighbouring taluk,Tamil Nadu,Madurai,ELEVATED,Flood,,True,True,False,True,3,24,,,16.494,2.382,5.41,38.0,0.0,0.0,1.0,682.0,0.361,ok,,
S17,Garbled panic messages,ZONE-1,Embankment breach,Assam,Jorhat,CRITICAL,Flood; Rescue Emergency,implicit_urgency; river_overflow,True,True,False,True,4,168,,,8.613,6.228,5.288,29.0,0.0,0.0,6.0,2308.0,0.955,ok,URGENT,
S17,Garbled panic messages,ZONE-2,Tea-garden lines,Assam,Dibrugarh,URGENT,Flood,river_overflow,True,True,False,True,4,64,,,20.51,5.837,4.58,36.0,0.0,1.0,2.0,1888.0,0.994,ok,ELEVATED,
S17,Garbled panic messages,ZONE-3,Market town,Assam,Guwahati,ELEVATED,Flood,,True,True,False,True,3,22,,,24.844,2.909,6.377,40.0,1.0,0.0,5.0,1520.0,-0.31,ok,,
S18,All quiet (do not cry wolf),ZONE-1,Coastal ward,Gujarat,Vadodara,ROUTINE,Flood,calm,True,True,True,True,2,7,,,4.051,2.992,6.096,20.0,0.0,0.0,4.0,153.0,0.021,ok,,ELEVATED
S18,All quiet (do not cry wolf),ZONE-2,Industrial belt,Gujarat,Ahmedabad,ROUTINE,Road Blockage,calm,True,True,False,True,2,6,,,6.141,1.0,4.896,26.0,0.0,0.0,1.0,1253.0,-0.005,ok,,ELEVATED
S18,All quiet (do not cry wolf),ZONE-3,Old city,Gujarat,Bharuch,ROUTINE,Medical Emergency,calm,True,True,False,True,1,5,,,6.095,1.717,6.095,17.0,0.0,0.0,3.0,1342.0,-0.085,ok,,ELEVATED
S19,"Four hazards, one district",ZONE-1,Compound-hazard ward,Uttar Pradesh,Prayagraj,CRITICAL,Flood; Road Blockage; Medical Emergency; Rescue Emergency,river_overflow,True,True,True,True,4,159,,,62.066,7.004,5.982,51.0,4.0,0.0,4.0,2117.0,1.088,ok,URGENT,
S19,"Four hazards, one district",ZONE-2,Adjacent ward,Uttar Pradesh,Varanasi,URGENT,Flood; Medical Emergency,,True,True,False,True,4,52,,,15.111,7.056,6.652,34.0,0.0,1.0,5.0,2507.0,0.002,ok,ELEVATED,
S20,"Slow onset, pre-position now",ZONE-1,Rising-river ward,West Bengal,Howrah,URGENT,Flood,,True,True,False,True,3,16,,,32.45,1.643,5.048,42.0,1.0,0.0,3.0,2196.0,0.416,ok,URGENT,
S20,"Slow onset, pre-position now",ZONE-2,Quiet ward,West Bengal,Darjeeling,ROUTINE,Flood,calm,True,True,False,True,1,4,,,3.508,2.693,5.939,15.0,0.0,0.0,3.0,1183.0,-0.04,ok,,
W01,Flash flood + municipal blackout,ZONE-1,Riverside settlement (battery gauge),Assam,Barpeta,CRITICAL,Flood; Rescue Emergency,battery_backup; flash_flood,True,True,False,True,2,146,water_level_change_m,image,21.697,7.564,5.613,16.0,3.0,1.0,4.0,1656.0,1.623,ok,URGENT,
W01,Flash flood + municipal blackout,ZONE-2,Low-lying colony (grid down),Assam,Barpeta,CRITICAL,Flood; Rescue Emergency,flash_flood; implicit_urgency,False,True,False,False,2,149,water_level_change_m,image; sensors; water_history,,,,,,,,,,ok,URGENT,
W01,Flash flood + municipal blackout,ZONE-3,District hospital (generator),Assam,Barpeta,URGENT,Medical Emergency; Flood,generator_backup; river_overflow,True,True,True,True,4,68,,,14.749,7.398,6.119,27.0,2.0,0.0,6.0,2789.0,1.008,ok,ELEVATED,
W01,Flash flood + municipal blackout,ZONE-4,Char island (no signal),Assam,Barpeta,CRITICAL,Flood,flash_flood; total_blackout,False,False,False,False,0,0,water_level_change_m,sensors; text; image; water_history,,,,,,,,,,insufficient_evidence,,
