post_id,timestamp,platform,text,author_type,post_type,state,district,location_mentioned,language,country,source_type,source_portal,source_url,source_event_id
IND_SOCIAL_00016,2026-04-03 18:05:00,X,Tsunami warning situation reported near Howrah. Residents should move to safer areas.,Volunteer,Missing Person,West Bengal,Howrah,Howrah,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2743
IND_SOCIAL_00017,2026-04-20 08:49:00,Instagram,Continuous heavy rainfall reported in Warangal. Roads are becoming difficult to use.,Resident,Missing Person,Telangana,Warangal,Warangal,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6310
IND_SOCIAL_00018,2026-02-14 04:23:00,Instagram,Strong cyclone conditions reported in Guwahati. People are requesting emergency shelter.,Volunteer,Help Request,Assam,Guwahati,Guwahati,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2290
IND_SOCIAL_00019,2026-05-01 10:29:00,X,Tsunami warning situation reported near Thrissur. Residents should move to safer areas.,Community Group,Help Request,Kerala,Thrissur,Thrissur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8787
IND_SOCIAL_00020,2026-06-19 10:29:00,Telegram,Buildings have been affected by an earthquake in Pune. Rescue teams are needed.,Community Group,Safety Update,Maharashtra,Pune,Pune,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9835
IND_SOCIAL_00021,2026-01-23 08:40:00,Instagram,Fire is spreading near forest areas around Guntur. Please send fire and rescue teams.,Local Reporter,Missing Person,Andhra Pradesh,Guntur,Guntur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5061
IND_SOCIAL_00022,2026-04-18 10:56:00,X,Lightning activity reported around Visakhapatnam. Residents are advised to stay indoors.,Community Group,Missing Person,Andhra Pradesh,Visakhapatnam,Visakhapatnam,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4608
IND_SOCIAL_00023,2026-01-14 05:34:00,Facebook,Flood situation is getting worse in Coimbatore. Families need drinking water and food.,Citizen,Distress Call,Tamil Nadu,Coimbatore,Coimbatore,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9423
IND_SOCIAL_00024,2026-06-20 15:19:00,Facebook,Tsunami-related emergency reported near Guntur. Evacuation assistance may be required.,Community Group,Help Request,Andhra Pradesh,Guntur,Guntur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8744
IND_SOCIAL_00025,2026-03-06 19:56:00,Facebook,Fire is spreading near forest areas around Nellore. Please send fire and rescue teams.,Citizen,Distress Call,Andhra Pradesh,Nellore,Nellore,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7939
IND_SOCIAL_00026,2026-05-27 01:50:00,X,Flood situation is getting worse in Durgapur. Families need drinking water and food.,Citizen,Safety Update,West Bengal,Durgapur,Durgapur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2790
IND_SOCIAL_00027,2026-02-03 17:40:00,Telegram,Debris is blocking the road in Vijayawada. People are requesting immediate assistance.,Local Reporter,Help Request,Andhra Pradesh,Vijayawada,Vijayawada,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5563
IND_SOCIAL_00028,2026-04-30 01:15:00,WhatsApp,Strong cyclone conditions reported in Dibrugarh. People are requesting emergency shelter.,Community Group,Distress Call,Assam,Dibrugarh,Dibrugarh,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9856
IND_SOCIAL_00029,2026-02-09 05:52:00,Facebook,Debris is blocking the road in Coimbatore. People are requesting immediate assistance.,Local Reporter,Safety Update,Tamil Nadu,Coimbatore,Coimbatore,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7570
IND_SOCIAL_00030,2026-02-22 06:16:00,X,Fire is spreading near forest areas around Erode. Please send fire and rescue teams.,Local Reporter,Situation Report,Tamil Nadu,Erode,Erode,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7930
IND_SOCIAL_00031,2026-04-16 18:28:00,Facebook,Continuous heavy rainfall reported in Nashik. Roads are becoming difficult to use.,Volunteer,Help Request,Maharashtra,Nashik,Nashik,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9883
IND_SOCIAL_00032,2026-01-11 16:30:00,X,Water has entered houses in Salem. Please send rescue teams and boats.,Community Group,Safety Update,Tamil Nadu,Salem,Salem,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9320
IND_SOCIAL_00033,2026-03-15 20:07:00,Telegram,Heavy winds and rain affecting Thiruvananthapuram. Please avoid travelling and stay indoors.,Citizen,Resource Request,Kerala,Thiruvananthapuram,Thiruvananthapuram,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2964
IND_SOCIAL_00034,2026-06-20 11:47:00,Telegram,Flood situation is getting worse in Surat. Families need drinking water and food.,Citizen,Safety Update,Gujarat,Surat,Surat,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5272
IND_SOCIAL_00035,2026-03-25 13:38:00,Instagram,Residents near Guntur are reporting a major landslide. Please send emergency teams.,Local Reporter,Help Request,Andhra Pradesh,Guntur,Guntur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6180
IND_SOCIAL_00036,2026-04-09 04:57:00,Telegram,Tsunami warning situation reported near Kochi. Residents should move to safer areas.,Community Group,Distress Call,Kerala,Kochi,Kochi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4492
IND_SOCIAL_00037,2026-02-22 05:07:00,Instagram,Rainfall situation is worsening in Nagpur. Please send rescue support if required.,Citizen,Help Request,Maharashtra,Nagpur,Nagpur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3584
IND_SOCIAL_00038,2026-06-21 06:14:00,Telegram,Silchar is severely flooded after continuous rainfall. People are trapped and need immediate rescue.,Volunteer,Resource Request,Assam,Silchar,Silchar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3200
IND_SOCIAL_00039,2026-04-21 10:32:00,Telegram,Cyclone impact reported around Hyderabad. Emergency teams are needed.,Resident,Situation Report,Telangana,Hyderabad,Hyderabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4450
IND_SOCIAL_00040,2026-01-18 03:15:00,Telegram,Strong tremors reported in Cuttack. Residents are requesting emergency assistance.,Local Reporter,Situation Report,Odisha,Cuttack,Cuttack,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7939
IND_SOCIAL_00041,2026-01-30 17:57:00,Instagram,Flood situation is getting worse in Hyderabad. Families need drinking water and food.,Resident,Resource Request,Telangana,Hyderabad,Hyderabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8239
IND_SOCIAL_00042,2026-04-10 15:43:00,X,Water has entered houses in Nashik. Please send rescue teams and boats.,Citizen,Resource Request,Maharashtra,Nashik,Nashik,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1590
IND_SOCIAL_00043,2026-03-08 17:11:00,WhatsApp,Rainfall situation is worsening in Sambalpur. Please send rescue support if required.,Resident,Distress Call,Odisha,Sambalpur,Sambalpur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1653
IND_SOCIAL_00044,2026-06-27 14:45:00,X,Debris is blocking the road in Cuttack. People are requesting immediate assistance.,Volunteer,Missing Person,Odisha,Cuttack,Cuttack,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3532
IND_SOCIAL_00045,2026-05-23 18:17:00,WhatsApp,Rainfall situation is worsening in Vijayawada. Please send rescue support if required.,Citizen,Help Request,Andhra Pradesh,Vijayawada,Vijayawada,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7745
IND_SOCIAL_00046,2026-02-10 19:49:00,X,Several areas around Guntur are affected by heavy rain.,Local Reporter,Distress Call,Andhra Pradesh,Guntur,Guntur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4269
IND_SOCIAL_00047,2026-03-14 20:55:00,Facebook,Buildings have been affected by an earthquake in Silchar. Rescue teams are needed.,Resident,Distress Call,Assam,Silchar,Silchar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6378
IND_SOCIAL_00048,2026-06-21 07:35:00,Instagram,People in Hyderabad are reporting earthquake damage. Medical assistance may be required.,Community Group,Safety Update,Telangana,Hyderabad,Hyderabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1452
IND_SOCIAL_00049,2026-04-19 22:27:00,Telegram,Continuous heavy rainfall reported in Kozhikode. Roads are becoming difficult to use.,Volunteer,Distress Call,Kerala,Kozhikode,Kozhikode,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8119
IND_SOCIAL_00050,2026-06-14 01:59:00,Telegram,Fire is spreading near forest areas around Puri. Please send fire and rescue teams.,Community Group,Distress Call,Odisha,Puri,Puri,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4114
IND_SOCIAL_00051,2026-03-08 15:18:00,X,Smoke and fire spreading near Hyderabad. Residents may need evacuation support.,Community Group,Missing Person,Telangana,Hyderabad,Hyderabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8066
IND_SOCIAL_00052,2026-05-12 08:39:00,Telegram,Lightning activity reported around Thrissur. Residents are advised to stay indoors.,Volunteer,Resource Request,Kerala,Thrissur,Thrissur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5920
IND_SOCIAL_00053,2026-04-12 06:15:00,Instagram,Wildfire situation reported around Nagpur. Emergency response is required.,Local Reporter,Resource Request,Maharashtra,Nagpur,Nagpur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3085
IND_SOCIAL_00054,2026-03-16 06:10:00,Facebook,Wildfire situation reported around Nellore. Emergency response is required.,Community Group,Missing Person,Andhra Pradesh,Nellore,Nellore,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9977
IND_SOCIAL_00055,2026-03-26 23:33:00,Facebook,People in Tiruchirappalli are reporting earthquake damage. Medical assistance may be required.,Local Reporter,Missing Person,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8238
IND_SOCIAL_00056,2026-05-02 04:25:00,Facebook,Tsunami-related emergency reported near Dibrugarh. Evacuation assistance may be required.,Citizen,Situation Report,Assam,Dibrugarh,Dibrugarh,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6491
IND_SOCIAL_00057,2026-01-09 17:54:00,Facebook,Strong tremors reported in Thiruvananthapuram. Residents are requesting emergency assistance.,Resident,Help Request,Kerala,Thiruvananthapuram,Thiruvananthapuram,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5011
IND_SOCIAL_00058,2026-05-08 02:25:00,WhatsApp,Tsunami-related emergency reported near Guwahati. Evacuation assistance may be required.,Community Group,Help Request,Assam,Guwahati,Guwahati,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7291
IND_SOCIAL_00059,2026-02-10 04:07:00,Facebook,Debris is blocking the road in Jorhat. People are requesting immediate assistance.,Citizen,Distress Call,Assam,Jorhat,Jorhat,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3881
IND_SOCIAL_00060,2026-01-25 14:34:00,Telegram,Residents near Nashik are requesting emergency assistance. Roads are under water.,Resident,Distress Call,Maharashtra,Nashik,Nashik,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8612
IND_SOCIAL_00061,2026-03-20 00:27:00,WhatsApp,Lightning incident reported near Kolhapur. Please avoid open areas.,Community Group,Resource Request,Maharashtra,Kolhapur,Kolhapur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9976
IND_SOCIAL_00062,2026-02-20 19:35:00,WhatsApp,Tsunami-related emergency reported near Dibrugarh. Evacuation assistance may be required.,Volunteer,Help Request,Assam,Dibrugarh,Dibrugarh,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9540
IND_SOCIAL_00063,2026-02-13 00:31:00,WhatsApp,People in Dibrugarh are reporting earthquake damage. Medical assistance may be required.,Citizen,Resource Request,Assam,Dibrugarh,Dibrugarh,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5451
IND_SOCIAL_00064,2026-05-07 15:54:00,Facebook,"Several families in Puri need food, water and shelter.",Resident,Help Request,Odisha,Puri,Puri,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3503
IND_SOCIAL_00065,2026-03-18 00:32:00,WhatsApp,Fire is spreading near forest areas around Visakhapatnam. Please send fire and rescue teams.,Volunteer,Missing Person,Andhra Pradesh,Visakhapatnam,Visakhapatnam,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2020
IND_SOCIAL_00066,2026-03-29 03:57:00,Telegram,Fire is spreading near forest areas around Nellore. Please send fire and rescue teams.,Citizen,Missing Person,Andhra Pradesh,Nellore,Nellore,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1096
IND_SOCIAL_00067,2026-03-31 05:06:00,WhatsApp,Smoke and fire spreading near Puri. Residents may need evacuation support.,Community Group,Resource Request,Odisha,Puri,Puri,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4595
IND_SOCIAL_00068,2026-05-04 23:12:00,X,Tsunami-related emergency reported near Karimnagar. Evacuation assistance may be required.,Local Reporter,Situation Report,Telangana,Karimnagar,Karimnagar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7624
IND_SOCIAL_00069,2026-04-19 02:01:00,Telegram,Several areas around Hubballi are affected by heavy rain.,Community Group,Distress Call,Karnataka,Hubballi,Hubballi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1444
IND_SOCIAL_00070,2026-02-17 16:38:00,Facebook,Forest fire reported near Thrissur. Fire and rescue teams are urgently needed.,Local Reporter,Help Request,Kerala,Thrissur,Thrissur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7211
IND_SOCIAL_00071,2026-05-18 05:34:00,Instagram,Coastal residents near Cuttack are requesting emergency support.,Volunteer,Safety Update,Odisha,Cuttack,Cuttack,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7906
IND_SOCIAL_00072,2026-02-11 03:38:00,X,Coastal residents near Hyderabad are requesting emergency support.,Community Group,Distress Call,Telangana,Hyderabad,Hyderabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2124
IND_SOCIAL_00073,2026-02-13 18:13:00,Facebook,A landslide has affected roads near Chennai. Emergency rescue support is required.,Citizen,Missing Person,Tamil Nadu,Chennai,Chennai,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3068
IND_SOCIAL_00074,2026-04-21 15:11:00,WhatsApp,A landslide has affected roads near Guwahati. Emergency rescue support is required.,Volunteer,Situation Report,Assam,Guwahati,Guwahati,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2876
IND_SOCIAL_00075,2026-03-14 13:00:00,Telegram,"Several families in Mangaluru need food, water and shelter.",Citizen,Situation Report,Karnataka,Mangaluru,Mangaluru,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4249
IND_SOCIAL_00076,2026-05-26 06:46:00,X,Landslide reported near Kollam. Road access is blocked and people need help.,Volunteer,Resource Request,Kerala,Kollam,Kollam,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1672
IND_SOCIAL_00077,2026-01-03 15:16:00,Instagram,Wildfire situation reported around Sambalpur. Emergency response is required.,Citizen,Missing Person,Odisha,Sambalpur,Sambalpur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7882
IND_SOCIAL_00078,2026-03-21 14:40:00,Instagram,Smoke and fire spreading near Guwahati. Residents may need evacuation support.,Local Reporter,Resource Request,Assam,Guwahati,Guwahati,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3885
IND_SOCIAL_00079,2026-02-19 04:38:00,WhatsApp,Tsunami-related emergency reported near Nagpur. Evacuation assistance may be required.,Local Reporter,Resource Request,Maharashtra,Nagpur,Nagpur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6280
IND_SOCIAL_00080,2026-03-03 13:44:00,WhatsApp,Emergency support requested from Visakhapatnam after earthquake tremors.,Resident,Safety Update,Andhra Pradesh,Visakhapatnam,Visakhapatnam,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_1470
IND_SOCIAL_00081,2026-03-04 06:57:00,WhatsApp,Rainfall situation is worsening in Silchar. Please send rescue support if required.,Resident,Situation Report,Assam,Silchar,Silchar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5581
IND_SOCIAL_00082,2026-05-12 10:03:00,Telegram,Water has entered houses in Vadodara. Please send rescue teams and boats.,Resident,Distress Call,Gujarat,Vadodara,Vadodara,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7658
IND_SOCIAL_00083,2026-02-23 21:32:00,WhatsApp,Tsunami warning situation reported near Dibrugarh. Residents should move to safer areas.,Local Reporter,Distress Call,Assam,Dibrugarh,Dibrugarh,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4630
IND_SOCIAL_00084,2026-03-19 19:03:00,Telegram,People in Howrah are reporting earthquake damage. Medical assistance may be required.,Volunteer,Safety Update,West Bengal,Howrah,Howrah,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6419
IND_SOCIAL_00085,2026-05-12 15:20:00,Instagram,Strong tremors reported in Balasore. Residents are requesting emergency assistance.,Volunteer,Help Request,Odisha,Balasore,Balasore,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4155
IND_SOCIAL_00086,2026-02-20 16:02:00,Facebook,Several areas around Bhubaneswar are affected by heavy rain.,Resident,Resource Request,Odisha,Bhubaneswar,Bhubaneswar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9595
IND_SOCIAL_00087,2026-02-02 23:59:00,Facebook,Cyclone impact reported around Vadodara. Emergency teams are needed.,Volunteer,Help Request,Gujarat,Vadodara,Vadodara,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5952
IND_SOCIAL_00088,2026-05-08 07:03:00,X,People in Erode are reporting earthquake damage. Medical assistance may be required.,Citizen,Missing Person,Tamil Nadu,Erode,Erode,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3068
IND_SOCIAL_00089,2026-03-22 12:26:00,Telegram,Residents near Guwahati are requesting emergency assistance. Roads are under water.,Volunteer,Safety Update,Assam,Guwahati,Guwahati,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_6582
IND_SOCIAL_00090,2026-03-31 20:28:00,WhatsApp,Emergency support requested from Bengaluru after earthquake tremors.,Citizen,Distress Call,Karnataka,Bengaluru,Bengaluru,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2213
IND_SOCIAL_00091,2026-02-15 12:21:00,Facebook,Continuous heavy rainfall reported in Ahmedabad. Roads are becoming difficult to use.,Community Group,Situation Report,Gujarat,Ahmedabad,Ahmedabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2940
IND_SOCIAL_00092,2026-02-24 11:09:00,Telegram,Debris is blocking the road in Nashik. People are requesting immediate assistance.,Local Reporter,Safety Update,Maharashtra,Nashik,Nashik,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8025
IND_SOCIAL_00093,2026-01-29 22:11:00,Facebook,Strong cyclone conditions reported in Hyderabad. People are requesting emergency shelter.,Resident,Situation Report,Telangana,Hyderabad,Hyderabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4929
IND_SOCIAL_00094,2026-05-06 19:54:00,Facebook,"Several families in Belagavi need food, water and shelter.",Citizen,Safety Update,Karnataka,Belagavi,Belagavi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8699
IND_SOCIAL_00095,2026-01-14 06:59:00,Instagram,Debris is blocking the road in Hyderabad. People are requesting immediate assistance.,Volunteer,Resource Request,Telangana,Hyderabad,Hyderabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4824
IND_SOCIAL_00096,2026-06-15 16:54:00,X,Smoke and fire spreading near Warangal. Residents may need evacuation support.,Community Group,Help Request,Telangana,Warangal,Warangal,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5352
IND_SOCIAL_00097,2026-03-22 06:41:00,Facebook,Flood situation is getting worse in Bengaluru. Families need drinking water and food.,Volunteer,Missing Person,Karnataka,Bengaluru,Bengaluru,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3037
IND_SOCIAL_00098,2026-03-22 00:35:00,Instagram,Fire is spreading near forest areas around Silchar. Please send fire and rescue teams.,Community Group,Missing Person,Assam,Silchar,Silchar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2317
IND_SOCIAL_00099,2026-01-17 23:00:00,Instagram,Forest fire reported near Ahmedabad. Fire and rescue teams are urgently needed.,Community Group,Situation Report,Gujarat,Ahmedabad,Ahmedabad,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_4750
IND_SOCIAL_00100,2026-03-27 23:38:00,Instagram,Water has entered houses in Bhavnagar. Please send rescue teams and boats.,Community Group,Distress Call,Gujarat,Bhavnagar,Bhavnagar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9502
IND_SOCIAL_00101,2026-06-26 17:52:00,Telegram,Several areas around Silchar are affected by heavy rain.,Local Reporter,Resource Request,Assam,Silchar,Silchar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2494
IND_SOCIAL_00102,2026-06-06 11:29:00,Instagram,Forest fire reported near Silchar. Fire and rescue teams are urgently needed.,Volunteer,Resource Request,Assam,Silchar,Silchar,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3634
IND_SOCIAL_00103,2026-03-25 03:09:00,Instagram,Tsunami warning situation reported near Balasore. Residents should move to safer areas.,Local Reporter,Missing Person,Odisha,Balasore,Balasore,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_2442
IND_SOCIAL_00104,2026-05-01 01:21:00,X,Lightning activity reported around Puri. Residents are advised to stay indoors.,Local Reporter,Missing Person,Odisha,Puri,Puri,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9889
IND_SOCIAL_00105,2026-04-25 04:27:00,Facebook,Residents near Jorhat are requesting emergency assistance. Roads are under water.,Community Group,Situation Report,Assam,Jorhat,Jorhat,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8242
IND_SOCIAL_00106,2026-06-10 16:28:00,Telegram,Emergency support requested from Madurai after earthquake tremors.,Resident,Situation Report,Tamil Nadu,Madurai,Madurai,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_8941
IND_SOCIAL_00107,2026-04-11 20:49:00,Facebook,Landslide reported near Kochi. Road access is blocked and people need help.,Volunteer,Missing Person,Kerala,Kochi,Kochi,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_7684
IND_SOCIAL_00108,2026-04-02 01:26:00,WhatsApp,Heavy winds and rain affecting Thiruvananthapuram. Please avoid travelling and stay indoors.,Citizen,Resource Request,Kerala,Thiruvananthapuram,Thiruvananthapuram,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_5781
IND_SOCIAL_00109,2026-04-11 16:30:00,WhatsApp,Fire is spreading near forest areas around Nagpur. Please send fire and rescue teams.,Local Reporter,Help Request,Maharashtra,Nagpur,Nagpur,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_3369
IND_SOCIAL_00110,2026-06-20 09:47:00,X,Rainfall situation is worsening in Howrah. Please send rescue support if required.,Volunteer,Safety Update,West Bengal,Howrah,Howrah,English,India,Simulated Social Feed,India Disaster Information Sources,,IND_EVENT_9318
